"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C7orf63",-0.157932022932023,8.31038834951456,-2.2369859248716,0.0274172744861865,0.267169773389077,-3.56678947343937
"HMGA2",0.195024570024569,6.71233009708738,2.23688839271228,0.0274238596321282,0.267169773389077,-3.56698047604735
"DLG3",-0.17963963963964,8.2071359223301,-2.23667128035854,0.0274385235267509,0.267169773389077,-3.56740563223422
"ABCB1 /// ABCB4",-0.458963963963965,4.66679611650485,-2.2359045028851,0.0274903670486983,0.267297566378072,-3.56890686258653
"CAB39",-0.272874692874693,10.261067961165,-2.23563546863962,0.0275085773526054,0.267297566378072,-3.56943347976078
"DMP1",0.225964373464374,3.66412621359223,2.23536448927118,0.027526929986942,0.267297566378072,-3.56996384672909
"CNOT6",-0.318407043407043,8.4521359223301,-2.23530796832959,0.0275307593339457,0.267297566378072,-3.57007446350455
"PHF8",-0.148677313677314,6.9731067961165,-2.23371202569789,0.0276390785214529,0.267841348208398,-3.57319683342583
"MAPRE2",0.183995358995358,8.0737216828479,2.23340979238286,0.0276596335203773,0.267841348208398,-3.57378790941908
"PPP6R3",-0.178513513513514,8.62087378640777,-2.23336108511778,0.0276629473703892,0.267841348208398,-3.57388315920606
"ARSF",0.120307125307125,7.43912621359223,2.23331564321851,0.0276660393709896,0.267841348208398,-3.57397202170087
"ATP6V0A4",0.213681408681409,6.88145631067961,2.23222267869337,0.0277404990397751,0.268004165963866,-3.57610884409073
"KALP /// KALP",-0.330184275184275,8.54184466019417,-2.23199304314186,0.0277561655345911,0.268004165963866,-3.57655767799422
"FAM21A /// FAM21C /// LOC101930591",-0.245524160524161,8.74498381877023,-2.2318105274766,0.027768622874982,0.268004165963866,-3.57691438412301
"SUCLA2",-0.30938574938575,9.12067961165049,-2.23169210087211,0.0277767085259539,0.268004165963866,-3.57714582141456
"AKR1B10",0.251359541359542,7.57271844660194,2.23161450014431,0.0277820078812709,0.268004165963866,-3.57729746801559
"LOC103344931",-0.134840294840296,7.73883495145631,-2.23058300116712,0.0278525330170354,0.268358809084089,-3.57931276241319
"BRD3",-0.224952907452908,9.77063106796117,-2.22994055979167,0.0278965367874169,0.268358809084089,-3.58056751025919
"CALY",0.237416052416053,4.52543689320388,2.22970480005082,0.0279127003018868,0.268358809084089,-3.58102788934886
"CYP2D6",-0.160829238329239,7.68427184466019,-2.22928521994699,0.0279414866646305,0.268358809084089,-3.58184711463746
"BMP8A",0.106332241332242,7.53754045307443,2.22873043274125,0.0279795891117336,0.268358809084089,-3.58293011703854
"SLC35A3",-0.29988533988534,8.04621359223301,-2.22828727428916,0.0280100575982243,0.268358809084089,-3.58379503406389
"TPP2",-0.230538493038493,8.61529126213592,-2.22809712950772,0.0280231395201906,0.268358809084089,-3.58416609414321
"NUPL2",-0.284570024570025,6.63504854368932,-2.22790795317034,0.0280361601147531,0.268358809084089,-3.58453523603755
"MKRN1",-0.159662162162161,10.040145631068,-2.2278365142318,0.0280410784768471,0.268358809084089,-3.58467462829022
